CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"173","2",Bronx,"017300","2017300",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017300","4204",7187.49260464000,1774072.44671999989,Bronx,"36005017300","6395",1400000US36005017300,"Census Tract 173, Bronx County, New York","101289000","25993530"
"147","1",Manhattan,"014700","1014700",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061014700","4107",3365.90108889000,703936.20423399995,Manhattan,"36061014700","2987",1400000US36061014700,"Census Tract 147, New York County, New York","400909800","75031454"
"151.02","1",Manhattan,"015102","1015102",,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015102","4107",8403.10506760000,2391493.14574000007,Manhattan,"36061015102","8254",1400000US36061015102,"Census Tract 151.02, New York County, New York","907706900","266273689"
"88","1",Manhattan,"008800","1008800",,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061008800","4165",5611.10693104000,1929071.60137999989,Manhattan,"36061008800","8852",1400000US36061008800,"Census Tract 88, New York County, New York","794000600","109631548"
"508.03","3",Brooklyn,"050803","3050803",,Flatbush,BK1401,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047050803","4314",3257.53449039000,602995.58997900004,Brooklyn,"36047050803","2548",1400000US36047050803,"Census Tract 508.03, Kings County, New York","88622000","23042496"
"61","2",Bronx,"006100","2006100",,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005006100","4204",8376.79711565000,2613469.03091999982,Bronx,"36005006100","3444",1400000US36005006100,"Census Tract 61, Bronx County, New York","143646100","32127099"
"257","2",Bronx,"025700","2025700",,University Heights (North)-Fordham,BX0701,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),"36005025700","4207",8955.90464723000,1670305.51985000004,Bronx,"36005025700","1809",1400000US36005025700,"Census Tract 257, Bronx County, New York","39611400","10036811"
"1522","3",Brooklyn,"152200","3152200",,Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047152200","4314",9339.76916978000,4196763.28246000037,Brooklyn,"36047152200","3287",1400000US36047152200,"Census Tract 1522, Kings County, New York","607912800","544107880"
"892.01","4",Queens,"089201","4089201",,Howard Beach-Lindenwood,QN1003,QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),"36081089201","4410",19422.94652870000,19157615.48539999872,Queens,"36081089201","7404",1400000US36081089201,"Census Tract 892.01, Queens County, New York","431988400","100024762"
"62.01","4",Queens,"006201","4006201",,Howard Beach-Lindenwood,QN1003,QN10,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),"36081006201","4410",8299.00877618000,4332014.27177000046,Queens,"36081006201","5389",1400000US36081006201,"Census Tract 62.01, Queens County, New York","275467000","89254777"
